metal,Z,Z rad,E neg,Ion eng,MM,Redox,metal/%,calcination temperature,calcination time,reaction time,MB,Yield
TiO2,25,81,1.55,717.3,54.938,1.51,10,0,6,60,1,40.09
MnO2,25,81,1.55,717.3,54.938,1.51,10,100,1,80,5,57.998
TiO2,25,81,1.55,717.3,54.938,1.51,5,100,1,100,1,44.88
Ag,47,115,1.93,731,107.8682,0.8,2.5,0,6,80,3,70.09333333
TiO2,25,81,1.55,717.3,54.938,1.51,5,0,3,20,3,56.61
TiO2,25,81,1.55,717.3,54.938,1.51,0.75,100,6,60,1,29.9
none,30,135,1.65,906.4,65,-0.75,7.5,100,6,20,1,33.6
Ag,47,115,1.93,731,107.8682,0.8,0.25,300,6,80,3,70.09666667
Co,27,74.5,1.88,760.4,58.933,1.82,7.5,100,9,100,3,63.56
Ag,47,115,1.93,731,107.8682,0.8,5,200,3,40,5,69.292
Co,27,74.5,1.88,760.4,58.933,1.82,5,200,2,60,3,61.27
none,30,135,1.65,906.4,65,-0.75,5,300,6,40,5,78.582
MnO2,25,81,1.55,717.3,54.938,1.51,5,200,6,20,7,69.56571429
Fe,26,76,1.83,762.5,55.845,0.44,0.75,0,9,20,3,61.27
Co,27,74.5,1.88,760.4,58.933,1.82,5,300,1,20,1,11.08
Cu,29,72,1.9,745.5,63.546,0.34,10,300,9,100,3,68.4
Fe,26,76,1.83,762.5,55.845,0.44,10,100,9,60,5,67.49
Ag,47,115,1.93,731,107.8682,0.8,0.75,100,6,20,3,73.01666667
Co,27,74.5,1.88,760.4,58.933,1.82,0.25,200,6,80,5,78.03
Co,27,74.5,1.88,760.4,58.933,1.82,1,0,6,20,1,10.04
Ni,28,69,1.91,737.1,58.6934,-0.025,2.5,300,6,60,1,22.1
Fe,26,76,1.83,762.5,55.845,0.44,2.5,0,3,20,1,32.77
none,30,135,1.65,906.4,65,-0.75,0.75,100,3,100,5,81.74
Fe,26,76,1.83,762.5,55.845,0.44,0.25,100,6,80,5,83.744
Fe,26,76,1.83,762.5,55.845,0.44,1,200,2,40,5,69.118
MnO2,25,81,1.55,717.3,54.938,1.51,1,300,6,20,5,55.396
TiO2,25,81,1.55,717.3,54.938,1.51,10,0,6,120,1,49.51
MnO2,25,81,1.55,717.3,54.938,1.51,10,100,1,120,5,62.742
TiO2,25,81,1.55,717.3,54.938,1.51,5,100,1,120,1,45.77
Ag,47,115,1.93,731,107.8682,0.8,2.5,0,6,120,3,74.45333333
TiO2,25,81,1.55,717.3,54.938,1.51,5,0,3,120,3,78.82333333
TiO2,25,81,1.55,717.3,54.938,1.51,0.75,100,6,120,1,45.91
Ni,28,69,1.91,737.1,58.6934,-0.025,0.75,300,1,120,5,82.446
none,30,135,1.65,906.4,65,-0.75,7.5,100,6,120,1,43.65
Ag,47,115,1.93,731,107.8682,0.8,0.25,300,6,120,3,86.51666667
Co,27,74.5,1.88,760.4,58.933,1.82,7.5,100,9,120,3,70.83333333
Co,27,74.5,1.88,760.4,58.933,1.82,7.5,200,1,120,3,74.43333333
Ag,47,115,1.93,731,107.8682,0.8,5,200,3,120,5,86.034
Co,27,74.5,1.88,760.4,58.933,1.82,5,200,2,120,3,79.6
none,30,135,1.65,906.4,65,-0.75,5,300,6,120,5,86.5
MnO2,25,81,1.55,717.3,54.938,1.51,5,200,6,120,7,65.77142857
Fe,26,76,1.83,762.5,55.845,0.44,0.75,0,9,120,3,61.94666667
Co,27,74.5,1.88,760.4,58.933,1.82,5,300,1,120,1,50.02
Cu,29,72,1.9,745.5,63.546,0.34,10,300,9,120,3,73.32
Fe,26,76,1.83,762.5,55.845,0.44,10,100,9,120,5,72.406
Ag,47,115,1.93,731,107.8682,0.8,0.75,100,6,120,3,80.67
Ni,28,69,1.91,737.1,58.6934,-0.025,2.5,200,1,120,1,98.75
Co,27,74.5,1.88,760.4,58.933,1.82,0.25,200,6,120,5,81.132
Fe,26,76,1.83,762.5,55.845,0.44,5,100,9,120,3,79.13666667
Co,27,74.5,1.88,760.4,58.933,1.82,1,0,6,120,1,43.9
Ni,28,69,1.91,737.1,58.6934,-0.025,2.5,300,6,120,1,30.63
Fe,26,76,1.83,762.5,55.845,0.44,2.5,0,3,120,1,43.59
none,30,135,1.65,906.4,65,-0.75,0.75,100,3,120,5,85.77
Fe,26,76,1.83,762.5,55.845,0.44,0.25,100,6,120,5,86.82
Fe,26,76,1.83,762.5,55.845,0.44,1,200,2,120,5,68.978
Ag,47,115,1.93,731,107.8682,0.8,1,300,1,120,7,90.97285714
MnO2,25,81,1.55,717.3,54.938,1.51,0.25,200,2,120,3,62.93333333
MnO2,25,81,1.55,717.3,54.938,1.51,1,300,6,120,5,61.292
